[11, 5, 'Gaussian NB', 0.47161273039005575, array([0.98700752, 0.26878594]), array([0.3469191 , 0.98133246]), array([0.5133892 , 0.42198942]), array([749780, 183420]), array([[260113, 489667],       [  3424, 179996]]), 2.9440484046936035, 0.8076584339141846]
[12, 0, 'Linear SVC', 0.9115623660522932, array([0.9886059, 0.7015666]), array([0.90029132, 0.95760902]), array([0.94238406, 0.8098317 ]), array([749694, 183506]), array([[674943,  74751],       [  7779, 175727]]), 444.4584126472473, 0.0774388313293457]
[12, 1, 'AdaBoost', 0.98924882126018, array([0.99818148, 0.95450091]), array([0.98841794, 0.99264329]), array([0.99327572, 0.97319852]), array([749694, 183506]), array([[741011,   8683],       [  1350, 182156]]), 1029.670860528946, 8.267982721328735]
[12, 2, 'Decision Tree', 0.9259676382340334, array([0.99690587, 0.73035373]), array([0.91067289, 0.98845269]), array([0.95184028, 0.84002492]), array([749694, 183506]), array([[682726,  66968],       [  2119, 181387]]), 29.696049213409424, 0.12069129943847656]
[12, 3, 'Random Forest', 0.9250096442348907, array([0.99221537, 0.73384362]), array([0.91382351, 0.9707094 ]), array([0.95140738, 0.835819  ]), array([749694, 183506]), array([[685088,  64606],       [  5375, 178131]]), 728.3350808620453, 4.346201181411743]
[12, 4, 'Bernoulli NB', 0.6661219459922846, array([0.92846567, 0.3482361 ]), array([0.633181  , 0.80069861]), array([0.75290632, 0.48537512]), array([749694, 183506]), array([[474692, 275002],       [ 36573, 146933]]), 2.0796308517456055, 0.5262131690979004]
[12, 5, 'Gaussian NB', 0.4436519502786112, array([0.9864558 , 0.25894622]), array([0.31175253, 0.98251283]), array([0.47377618, 0.40986931]), array([749694, 183506]), array([[233719, 515975],       [  3209, 180297]]), 2.395132541656494, 0.7494006156921387]
[13, 0, 'Linear SVC', 0.911531290184312, array([0.98850858, 0.70245614]), array([0.90023326, 0.95745836]), array([0.94230803, 0.81037005]), array([748957, 184243]), array([[674236,  74721],       [  7838, 176405]]), 388.62764835357666, 0.0774238109588623]
[13, 1, 'AdaBoost', 0.988421560222889, array([0.9974593, 0.9533663]), array([0.9880901 , 0.98976895]), array([0.9927526 , 0.97122664]), array([748957, 184243]), array([[740037,   8920],       [  1885, 182358]]), 1189.5021209716797, 8.284527778625488]
[13, 2, 'Decision Tree', 0.9263009001285898, array([0.99693589, 0.73202452]), array([0.91097086, 0.98861829]), array([0.9520167 , 0.84118891]), array([748957, 184243]), array([[682278,  66679],       [  2097, 182146]]), 29.41314196586609, 0.1203773021697998]
[13, 3, 'Random Forest', 0.939103086155165, array([0.99073867, 0.77940441]), array([0.93284261, 0.96455225]), array([0.96091936, 0.86215018]), array([748957, 184243]), array([[698659,  50298],       [  6531, 177712]]), 731.6788067817688, 4.344741106033325]
[13, 4, 'Bernoulli NB', 0.6661326618088298, array([0.92813235, 0.34928241]), array([0.63301765, 0.80074684]), array([0.75268124, 0.48639943]), array([748957, 184243]), array([[474103, 274854],       [ 36711, 147532]]), 2.1042163372039795, 0.5246832370758057]
[13, 5, 'Gaussian NB', 0.4571549507072439, array([0.98729362, 0.26454553]), array([0.32783458, 0.98284874]), array([0.49222423, 0.41688221]), array([748957, 184243]), array([[245534, 503423],       [  3160, 181083]]), 2.4253673553466797, 0.7559788227081299]
[14, 0, 'Linear SVC', 0.9115720102871839, array([0.98858028, 0.70182236]), array([0.90030179, 0.9575616 ]), array([0.94237815, 0.8099851 ]), array([749522, 183678]), array([[674796,  74726],       [  7795, 175883]]), 345.0412871837616, 0.08224225044250488]
[14, 1, 'AdaBoost', 0.9895970852978997, array([0.9980182 , 0.95675324]), array([0.98901166, 0.99198598]), array([0.99349452, 0.97405111]), array([749522, 183678]), array([[741286,   8236],       [  1472, 182206]]), 1037.7235596179962, 8.359991788864136]
[14, 2, 'Decision Tree', 0.9263641234462066, array([0.99685599, 0.73169493]), array([0.91119273, 0.98827296]), array([0.95210141, 0.84084629]), array([749522, 183678]), array([[682959,  66563],       [  2154, 181524]]), 29.930074453353882, 0.12349128723144531]
[14, 3, 'Random Forest', 0.9388769824260609, array([0.99055003, 0.77847461]), array([0.93279717, 0.96368645]), array([0.96080652, 0.86123545]), array([749522, 183678]), array([[699152,  50370],       [  6670, 177008]]), 721.5761070251465, 4.362285375595093]
[14, 4, 'Bernoulli NB', 0.6656911701671667, array([0.92844399, 0.34819525]), array([0.63251379, 0.8010758 ]), array([0.7524273, 0.4854047]), array([749522, 183678]), array([[474083, 275439],       [ 36538, 147140]]), 2.081385850906372, 0.5245161056518555]
[14, 5, 'Gaussian NB', 0.4547321045863695, array([0.98615533, 0.26288379]), array([0.3256809 , 0.98134235]), array([0.48965252, 0.41468184]), array([749522, 183678]), array([[244105, 505417],       [  3427, 180251]]), 2.4351279735565186, 0.8076331615447998]
